,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
AT2G26150,AT2G26150_glue,0.07570082850981727,3.616242225674516,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT5G13200', 5.277888774949507), ('AT1G03070', 32.45117755948927), ('AT1G66400', 7.484268673412737), ('AT3G24500', 161.5242532228213), ('AT2G26150', 1.0), ('AT5G51440', 42.6944063314178), ('AT5G52640', 86.38679764409375), ('AT2G19310', 89.96578748472346), ('AT1G59860', 71.15484933942759), ('AT5G48570', 51.775076915339454), ('AT4G10250', 21.68766187879112), ('AT1G67920', 2.740026420673715), ('AT2G43120', 10.53208306396056), ('AT1G16030', 83.18759091736639), ('AT5G04340', 3.8268045107378073), ('AT4G27654', 0.957991834069514), ('AT3G47295', 3.96921120067127), ('AT3G46230', 92.11434060483428), ('AT2G20560', 98.3265046451263), ('AT5G61820', 10.398061314485554), ('AT5G10180', 1.9243689291243689), ('AT3G49570', 6.293260918387886), ('AT1G67910', 0.7993754826854249), ('AT5G48485', 5.108739705928395), ('AT5G54165', 14.114409423642911), ('AT1G14200', 156.90574097269138), ('AT4G05100', 4.775625174080169), ('AT1G07400', 129.4964832205191), ('AT2G44130', 4.019966162180499), ('AT1G75750', 1.2076834578343028), ('AT3G16050', 161.37248503612742), ('AT4G25200', 35.35599659961747)]",80
AT3G02150,AT3G02150_glue,0.059148182859523064,3.4721511007457098,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT4G39770', 6.077427323676966), ('AT4G22620', 0.6488592551302524), ('AT3G15353', 9.82117078306669), ('AT1G19180', 1.1543024389784968), ('AT1G67910', 1.746393773086966), ('AT5G58670', 0.5019073264928529), ('AT3G51660', 0.6328417532492203), ('AT2G37170', 49.53974085700043)]",47
AT3G08500,AT3G08500_glue,0.05420401195049082,3.0791754120000205,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G55210', 0.9492694575143896), ('AT4G18780', 72.60274068090366), ('AT3G62160', 44.41372547019284), ('AT2G27740', 29.17269798164955), ('AT2G37040', 1.3725488076279926), ('AT1G02335', 5.917078772414759), ('AT3G25900', 46.989919031101415), ('AT1G02640', 29.20032733936598), ('AT5G26330', 64.56211444081674), ('AT5G60490', 24.146522864185272), ('AT3G62020', 71.03124932611803), ('AT4G14940', 12.609729001982352), ('AT1G27440', 11.38051088745054), ('AT1G01900', 23.10454048713113), ('AT3G53620', 60.10627469684064), ('AT3G50220', 18.776082463893992), ('AT1G19300', 12.920993150509988), ('AT4G19420', 5.264283841139078), ('AT3G05165', 11.042787545898443)]",71
AT3G09370,AT3G09370_glue,0.22493846023257788,9.557434415131098,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G03780', 20.83871439777385), ('AT5G15510', 12.90315314718251), ('AT1G76310', 9.639713954574455), ('AT5G25090', 12.008858695200136), ('AT2G26760', 17.024721443897818), ('AT5G03885', 11.65818511183202), ('AT4G24265', 3.36931271190616), ('AT4G17000', 9.150204167046557), ('AT5G56120', 22.21855306280048), ('AT4G28230', 15.12210150509798), ('AT5G03870', 10.959008350242929), ('AT3G05152', 6.300420262317042), ('AT5G06150', 18.00724083113774), ('AT1G14260', 11.536080397251215), ('AT4G35730', 12.48832308062094), ('AT1G53140', 0.639443763383519), ('AT3G51280', 15.15774875333276), ('AT4G02800', 11.090161401028356), ('AT1G20930', 3.778609147964831), ('AT4G14330', 13.904924781268148), ('AT5G23400', 0.6495780946723075), ('AT4G33270', 23.84275582667285), ('AT5G13840', 14.58319243267774), ('AT1G16630', 10.200358895748828), ('AT3G51740', 11.3487820669509), ('AT5G16250', 14.192724190422526), ('AT5G17160', 2.8895027959163326), ('AT3G52110', 16.139322416062058), ('AT4G35620', 14.097272119582955), ('AT1G30690', 12.033862691253765), ('AT3G14190', 18.08665632037668), ('AT1G23790', 13.409576950396742), ('AT3G15550', 9.613236162711347), ('AT4G01730', 5.5391423509731705), ('AT4G38062', 8.397585241546063), ('AT3G44960', 6.128333916899181), ('AT1G18370', 11.63432610356322), ('AT2G42110', 20.82356343375057), ('AT4G32830', 12.330881033752014), ('AT5G66230', 17.630693660002272), ('AT3G51720', 16.46800921242836), ('AT1G20610', 6.793989978655237), ('AT5G01910', 1.0885856052235383), ('AT1G08560', 13.552141575093966), ('AT1G02730', 17.006669563493105), ('AT5G44040', 13.132502554947129), ('AT3G11520', 9.203605179640778), ('AT2G33560', 9.49680021094146), ('AT3G02640', 16.9536787401171), ('AT3G16280', 11.568639886226585), ('AT5G45700', 13.912289296864218), ('AT2G43290', 2.0440506000642755), ('AT1G63100', 11.422986056183491), ('AT5G38300', 9.020399398232533), ('AT2G34190', 17.09643300451858), ('AT3G59765', 7.258187724003073), ('AT5G47500', 1.9823793861611), ('AT3G05330', 13.424886035565317), ('AT1G04680', 0.5629217085488988)]",122
AT3G10480,AT3G10480_glue,0.054847996876982386,3.07163450958427,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G23530', 1.1897222239553191), ('AT4G18780', 1.4472714463625966), ('AT3G62160', 1.2417171259473263), ('AT5G18970', 0.931803846971472), ('AT3G25900', 0.4991284701395113), ('AT1G02335', 0.9121681408013484), ('AT3G17730', 2.304254370377357), ('AT1G02640', 1.7345963145730756), ('AT4G19050', 0.9988163729558026), ('AT5G60490', 1.4286156037918905), ('AT5G26330', 2.5707886452324704), ('AT3G62020', 1.9931948431616835), ('AT4G14940', 2.271141207666556), ('AT1G27440', 1.885499849902322), ('AT1G01900', 3.078665941551048), ('AT3G50220', 0.5435042666848258), ('AT3G53620', 1.1890786994352656)]",59
AT3G47600,AT3G47600_glue,0.05515151515151515,3.164850470996428,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT2G04570', 1.1418275678079126), ('AT1G52100', 1.04818861078852), ('AT4G18280', 0.9986063238156604), ('AT5G22250', 3.857471919820599), ('AT1G66400', 4.318179860273654), ('AT4G08040', 1.1795117794579535), ('AT4G18970', 4.4730039881895545), ('AT1G29660', 13.383173154717328), ('AT4G04890', 15.907472900500364), ('AT3G16370', 29.60037118176797), ('AT5G45670', 28.651650600256342), ('AT5G45950', 28.30086700496599), ('AT5G36910', 2.5264987274278106), ('AT4G16515', 8.843268292261893), ('AT4G24510', 4.170242751730221), ('AT1G80080', 1.1547331185601646), ('AT3G43720', 18.34596185422548), ('AT2G38530', 38.04591784819587), ('AT2G05520', 35.52031451548064), ('AT1G69900', 0.5719493396192442), ('AT3G04290', 29.762703129480503), ('AT4G00970', 4.4442909049956345), ('AT4G01950', 1.1966536774308092), ('AT4G36500', 1.2047559865213302), ('AT4G13840', 38.01531894913792)]",58
AT3G51910,AT3G51910_glue,0.07058893023805304,3.1431612562278923,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT5G51440', 2.0181371980098737), ('AT2G26150', 18.5012285985847), ('AT3G24500', 1.8750113101172732), ('AT3G26450', 0.863777942501565), ('AT5G52640', 3.282325371857472), ('AT2G19310', 14.687033133766333), ('AT4G10250', 7.552661894931624), ('AT5G48570', 1.121166515289593), ('AT1G59860', 2.579608462893256), ('AT5G04340', 2.2505932365029784), ('AT3G03830', 0.5444196582823414), ('AT3G46230', 12.36753656407598), ('AT1G16030', 6.055209482573884), ('AT2G20560', 6.012242942349636), ('AT1G06640', 4.211747930416785), ('AT1G78120', 2.185838072612495), ('AT3G03840', 13.750585651939776), ('AT5G65390', 5.896875531135871), ('AT1G14200', 6.107304770010918), ('AT1G07400', 7.965101637110427), ('AT2G44130', 2.139949018724972), ('AT1G75750', 1.7767031080228213), ('AT3G16050', 3.538836082456611), ('AT4G25200', 6.975747942672743)]",80
AT4G18170,AT4G18170_glue,0.07609678878335595,3.814029440135305,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT2G35930', 8.450165835158888), ('AT2G20880', 14.17436060359146), ('AT1G17860', 4.351404519538084), ('AT1G06135', 1.6452465440221575), ('AT4G36500', 11.93257793626005), ('AT1G71697', 27.446682272023992), ('AT1G47130', 11.322075774183777), ('AT3G55840', 0.9967461481441368), ('AT1G07160', 1.269563458027661), ('AT2G31345', 9.171856061576928), ('AT3G05730', 15.070928711366143), ('AT5G36925', 2.9329760174196826), ('AT5G43650', 3.0391514284944265), ('AT2G22880', 11.206720374164307), ('AT3G49620', 0.5701805625971853), ('AT2G43620', 26.43051003685056), ('AT5G19230', 23.119033789316365), ('AT3G22060', 25.457414385948017), ('AT1G80450', 0.5116713000639652), ('AT1G55450', 22.863113482370277), ('AT1G02360', 1.1158548812816085), ('AT1G29290', 4.302550594843214), ('AT4G15120', 0.506816340172396), ('AT3G18950', 1.012912409792757), ('AT1G56240', 14.396925784169913), ('AT3G51660', 44.64676013259284), ('AT4G36950', 10.702579715093105), ('AT2G02010', 2.3435818623014577), ('AT5G16970', 21.097082666434677), ('AT2G43510', 1.2840527122599363), ('AT4G31550', 4.031788415642379), ('AT1G14540', 0.5872514870182192), ('AT5G22270', 1.7891641876706144), ('AT4G22590', 1.8019498285612685), ('AT1G69890', 5.811122342315048), ('AT4G34131', 0.9970037174934234), ('AT4G30280', 8.422436435174294), ('AT2G03760', 6.939524948808052), ('AT4G14365', 1.124864926748243), ('AT1G21120', 9.101191356830515), ('AT2G47950', 0.8724785341066054), ('AT1G75860', 4.033699933899624), ('AT3G13650', 7.149968853990364), ('AT5G64905', 1.142484440846418), ('AT5G27420', 3.735281545529432), ('AT5G42380', 6.324776496447819), ('AT1G03220', 1.1946175906158092), ('AT1G05575', 10.110814878787986), ('AT1G58420', 0.9391422063374292), ('AT2G47140', 7.995534148897765), ('AT3G62830', 0.5725938352205208), ('AT2G05380', 3.819577717792928), ('AT2G38870', 129.75771309740972), ('AT2G32210', 3.0751913031199307), ('AT1G19180', 4.095028213147996), ('AT5G55180', 2.075846783455942), ('AT4G34135', 1.5599340864209374), ('AT4G18950', 0.8001089375378118), ('AT3G59220', 4.581979894266889), ('AT3G04300', 0.816565180548193), ('AT1G30700', 0.8415175044049746), ('AT2G47260', 2.275441259268645), ('AT5G35735', 4.670014215303557), ('AT2G27310', 16.49714372792331), ('AT1G56250', 6.249884949549816), ('AT4G35985', 2.524487489533532), ('AT1G25400', 2.607634269865144), ('AT1G22810', 10.089663322264286), ('AT1G76070', 18.680901386160954), ('AT4G02380', 4.72863809569352), ('AT2G05520', 4.202710094601083), ('AT5G26340', 0.99384617017935)]",253
AT4G23550,AT4G23550_glue,0.054276094276094276,3.1733807097980784,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G20070', 2.9403799372906048), ('AT4G35480', 1.2175849247378585), ('AT2G37170', 13.345365107197054), ('AT1G02400', 2.187864484126272), ('AT2G37180', 5.588997815022409), ('AT1G21550', 9.4145166163066), ('AT2G05520', 2.22072523433064)]",75
AT5G02320,AT5G02320_glue,0.2405050505050505,9.9960625350387,0.0,1.0,placeholder,"frozenset({'activating', 'glue.genes_vs_tracks.rankings', 'weight>75.0%'})","[('AT1G76310', 5.131439702941421), ('AT1G03780', 9.824574167372116), ('AT5G25090', 8.914354852160502), ('AT2G26760', 5.665716206695668), ('AT5G15510', 9.231756178078715), ('AT4G24265', 2.1158818947013844), ('AT5G03885', 4.169646323954838), ('AT5G56120', 10.54473612186124), ('AT4G17000', 4.4299397950812125), ('AT4G28230', 7.972675936926766), ('AT5G03870', 5.834335312119353), ('AT3G05152', 1.5653849063017913), ('AT5G06150', 6.97247621772517), ('AT3G51280', 6.766712072110954), ('AT4G35730', 5.160495837825067), ('AT4G02800', 3.9720045494651095), ('AT1G14260', 3.054435517630751), ('AT4G14330', 6.862547502576116), ('AT5G13840', 6.594996581202552), ('AT3G51740', 4.09848654308395), ('AT4G33270', 9.515058475373705), ('AT5G16250', 4.775580278996185), ('AT1G16630', 7.563332884543403), ('AT3G52110', 10.529747220427852), ('AT1G30690', 6.036363896292668), ('AT4G35620', 7.724429175937495), ('AT4G01730', 0.9322051516079936), ('AT3G14190', 7.321604783640565), ('AT3G15550', 6.04099759152001), ('AT1G23790', 6.45386252974021), ('AT1G18370', 5.803453483756651), ('AT4G38062', 2.1820231799955447), ('AT3G44960', 1.5963966768796871), ('AT4G32830', 4.046956164613939), ('AT2G42110', 5.518927218859693), ('AT5G66230', 8.359486136485016), ('AT3G51720', 6.028221216966347), ('AT1G02730', 5.126595496577085), ('AT1G20610', 1.033512122793557), ('AT1G08560', 5.751682750892835), ('AT5G44040', 4.508887245588295), ('AT2G33560', 0.5200845332918972), ('AT3G11520', 6.370980532229072), ('AT3G02640', 9.601892083368806), ('AT3G16280', 9.212750571996285), ('AT5G45700', 4.198497959467931), ('AT2G43290', 1.504969363592287), ('AT1G63100', 9.798021204944265), ('AT5G38300', 2.821213484172086), ('AT2G34190', 8.230307121680546), ('AT3G59765', 4.257118214528931), ('AT5G47500', 7.640571024606574), ('AT3G05330', 11.374456057723467)]",120
